Date,Envelope,Account,Name,Notes,"Check #",Amount,Status,Details
13/05/2023,"Cumpărături neesențiale","My Account","Sound Creation",,,-44.00,,
12/05/2023,Studiu,"My Account",Brilliant,,,-172.25,,
11/05/2023,Cumparaturi,"My Account",Profi,,,-38.62,,
11/05/2023,Utilitati,"My Account","Asociatia Locatari Aluminei 68",,,-505.80,,
11/05/2023,Taxi,"My Account","Fulger Taxi",,,-10.00,,
11/05/2023,"Cumpărături neesențiale","My Account",Lorin,,,-5.00,,
11/05/2023,"Cumpărături neesențiale","My Account",Miango,,,-65.00,,
11/05/2023,Taxi,"My Account",OTL,,,-3.00,,
10/05/2023,,"My Account","Monthly Envelope Fill",,,"8,000.00",,"DELETED: Abonament autobus|90.00||Savings|2,500.00||Cheltuieli neprevazute + mici placeri|595.00||Asigurare viata|180.00||Abonament telefon + sala + autobus|496.00||Chirie|1,000.00||Masa in oras|500.00||Taxi|200.00||Donatii|1,500.00||Impozit pe venit|500.00||Utilitati|250.00||Cumparaturi|651.00||[Unallocated]|-462.00"
09/05/2023,Studiu,"My Account","Auto Zach",,,-600.00,,
07/05/2023,Cumparaturi,"My Account",Kaufland,,,-5.29,,
07/05/2023,Cumparaturi,"My Account",Lidl,,,-51.06,,
07/05/2023,Cumparaturi,"My Account",Kaufland,,,-168.98,,
07/05/2023,Donatii,"My Account",De-clic,,,-50.00,,
05/05/2023,"Cumpărături neesențiale","My Account","Starea Nației",,,-190.00,,
04/05/2023,Donatii,"My Account",Wikipedia,,,-52.00,,
03/05/2023,"Cumpărături neesențiale","My Account",Tazz,,,-64.97,,
02/05/2023,Studiu,"My Account",AWS,,,-155.27,,
02/05/2023,"Cumpărături neesențiale","My Account",Steam,,,-75.15,,
01/05/2023,Utilitati,"My Account",DIGI,,,-9.98,,
01/05/2023,Studiu,"My Account","Auto Zach",,,-300.00,,
01/05/2023,"Cumpărături neesențiale","My Account","Filarmonica Oradea",,,-40.50,,
30/04/2023,"Cumpărături neesențiale","My Account","Noodle Pack",,,-49.99,,
28/04/2023,Medical,"My Account","Dalea Ioana",,,-100.00,,
28/04/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
28/04/2023,Taxi,"My Account",OTL,,,-3.00,,
27/04/2023,Cumparaturi,"My Account",Lidl,,,-47.55,,
27/04/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
27/04/2023,Cumparaturi,"My Account",Kaufland,,,-92.26,,
27/04/2023,Taxi,"My Account",OTL,,,-3.00,,
26/04/2023,Cumparaturi,"My Account",Lidl,,,-21.96,,
24/04/2023,Taxi,"My Account",OTL,,,-3.00,,
24/04/2023,Cumparaturi,"My Account",Lidl,,,-7.99,,
22/04/2023,Cumparaturi,"My Account",Lidl,,,-20.15,,
22/04/2023,Cumparaturi,"My Account",Kaufland,,,-96.03,,
22/04/2023,Cumparaturi,"My Account","Piata Rogerius",,,-16.00,,
21/04/2023,Cumparaturi,"My Account",ProNat,,,-209.48,,
21/04/2023,"Cumpărături neesențiale","My Account","Benzinărie Ramada",,,-3.50,,
20/04/2023,"Cumpărături neesențiale","My Account",Profi,,,-50.59,,
20/04/2023,Cumparaturi,"My Account",Lidl,,,-55.85,,
20/04/2023,Cumparaturi,"My Account","Mega Image",,,-28.15,,
20/04/2023,"Cumpărături neesențiale","My Account",Auchan,,,-68.00,,
20/04/2023,"Cumpărături neesențiale","My Account","Starea Nației",,,-9.99,,
18/04/2023,"Cumpărături neesențiale","My Account","Noodle Pack",,,-35.98,,
18/04/2023,"Cumpărături neesențiale","My Account","Gara CFR Cluj",,,-9.00,,
18/04/2023,Taxi,"My Account",CFR,,,-53.00,,
18/04/2023,Taxi,"My Account",Ctp,,,-6.00,,
18/04/2023,Medical,"My Account",Catena,,,-45.36,,
18/04/2023,Medical,"My Account","Remedium Farm",,,-7.67,,
18/04/2023,Medical,"My Account",Psihomedica,,,-255.00,,
18/04/2023,Taxi,"My Account",Ctp,,,-6.00,,
18/04/2023,"Cumpărături neesențiale","My Account","Flower Time",,,-29.99,,
18/04/2023,Cumparaturi,"My Account","Magazin Condimente",,,-92.32,,
18/04/2023,Taxi,"My Account",Ctp,,,-6.00,,
18/04/2023,Taxi,"My Account",CFR,,,-53.00,,
15/04/2023,Cumparaturi,"My Account",Kaufland,,,-27.98,,
15/04/2023,Cumparaturi,"My Account",Lidl,,,-14.56,,
15/04/2023,Cumparaturi,"My Account",Kaufland,,,-62.41,,
12/04/2023,Cumparaturi,"My Account",Kaufland,,,-12.49,,
12/04/2023,Cumparaturi,"My Account",Lidl,,,-29.24,,
12/04/2023,"Cumpărături neesențiale","My Account","Filarmonica Oradea",,,-40.50,,
11/04/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-37.93,,
11/04/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-48.18,,
11/04/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-37.93,,
10/04/2023,,"My Account","Monthly Envelope Fill",,,"8,000.00",,"DELETED: Abonament autobus|90.00||Savings|2,500.00||Cheltuieli neprevazute + mici placeri|595.00||Asigurare viata|180.00||Abonament telefon + sala + autobus|496.00||Chirie|1,000.00||Masa in oras|500.00||Taxi|200.00||Donatii|1,500.00||Impozit pe venit|500.00||Utilitati|250.00||Cumparaturi|651.00||[Unallocated]|-462.00"
08/04/2023,Cumparaturi,"My Account","Piata Rogerius",,,-5.50,,
08/04/2023,Cumparaturi,"My Account",Kaufland,,,-196.74,,
08/04/2023,Cumparaturi,"My Account",Lidl,,,-64.02,,
07/04/2023,Donatii,"My Account",De-clic,,,-50.00,,
05/04/2023,Donatii,"My Account",Libertatea,,,-50.00,,
04/04/2023,Utilitati,"My Account",DIGI,,,-10.31,,
04/04/2023,"Cumpărături neesențiale","My Account","Zoo Expert",,,-6.50,,
04/04/2023,Donatii,"My Account",Wikipedia,,,-52.00,,
04/04/2023,Cumparaturi,"My Account",Lidl,,,-67.41,,
04/04/2023,"Cumpărături neesențiale","My Account","Starea Nației",,,-190.00,,
03/04/2023,"Cumpărături neesențiale","My Account",EMAG,,,-309.99,,
02/04/2023,Studiu,"My Account",AWS,,,-158.48,,
01/04/2023,Cumparaturi,"My Account","Piata Rogerius",,,-23.30,,
31/03/2023,Cumparaturi,"My Account",Lidl,,,-52.44,,
31/03/2023,Cumparaturi,"My Account",Kaufland,,,-115.58,,
29/03/2023,Cumparaturi,"My Account","Piata Rogerius",,,-20.50,,
27/03/2023,Medical,"My Account",DrMax,,,-4.98,,
27/03/2023,Cumparaturi,"My Account",Lidl,,,-14.98,,
27/03/2023,"Cumpărături neesențiale","My Account","Zoo Expert",,,-30.50,,
26/03/2023,Cumparaturi,"My Account",Lidl,,,-40.96,,
26/03/2023,Cumparaturi,"My Account",Kaufland,,,-107.84,,
25/03/2023,"Cumpărături neesențiale","My Account",NordVPN,,,-530.00,,
24/03/2023,"Cumpărături neesențiale","My Account",BitDefender,,,-156.00,,
24/03/2023,"Cumpărături neesențiale","My Account",Kindle,,,-9.75,,
23/03/2023,Utilitati,"My Account","Asociatia Locatari Aluminei 68",,,-570.40,,
23/03/2023,Cumparaturi,"My Account",Lidl,"Pâine ",,-5.99,,
23/03/2023,"Cumpărături neesențiale","My Account",Lorin,,,5.00,,
23/03/2023,"Cumpărături neesențiale","My Account",Miango,,,-65.00,,
23/03/2023,Taxi,"My Account",OTL,,,-3.00,,
21/03/2023,Studiu,"My Account","Auto Zach",,,-600.00,,
21/03/2023,Medical,"My Account",Catena,,,-95.60,,
21/03/2023,Taxi,"My Account",OTL,,,-3.00,,
20/03/2023,"Cumpărături neesențiale","My Account",Zooplus,,,-29.90,,
20/03/2023,Cumparaturi,"My Account",Zooplus,,,-202.55,,
